time,line,translation
00:15:34,You're reading these cool things.,
00:15:35,I got to go work. Life is so unfair.,
00:15:39,(SIGHS),
00:15:40,(BELL DINGS),
00:15:44,(GROANS),
00:15:46,,"어쩌죠, 자본이 한 두 달 갈 것밖에 안 남았어요"
00:15:47,DAD: What can we do? We've only got capital,
00:15:48,"to last a month, maybe two.",
00:15:49,,그 때까지 투자자를 못 찾으면 정리해고를 해야 할 거에요
00:15:51,"If we can't find investors by then,",
00:15:52,we're going to have to lay people off.,
00:15:53,,"엄마, 아빠 굿나잇 키스 해 주세요"
00:15:54,Mom! Dad!,
00:15:56,Come kiss me good night!,"알아요, 알아요. 그리 해야죠 - 금방 갈게!"
00:15:57,DAD: I know. I know. MOM: Be right there!,
00:15:59,"DAD: We've got to land this, okay?",
00:16:02,,아빠 말 들었어? 화 난 것 같던데
00:16:03,Did you hear Dad? He sounded really upset.,
00:16:05,(VEHICLE PASSING) (GASPS),
00:16:07,(RUMBLING),
00:16:08,,뭐지? 곰이야? 곰이구나!
00:16:09,What was that? Was it a bear? It's a bear!,샌프란시스코엔 곰이 없어
00:16:11,There are no bears in San Francisco.,진짜 털 많은 남자 봤는데 곰 같았어
00:16:12,I saw a really hairy guy. He looked like a bear.,
00:16:13,,"으, 긴장돼 신경이 팔딱거려!"
00:16:14,"Oh, I'm so jumpy. My nerves are shot.",
00:16:16,,네 신경 얘기 안 듣고 싶거든!
00:16:17,Ew! I don't want to hear about your nerves.,하나 말 해 줄까 이 이사는 실패야
00:16:18,I'll tell you what it is. This move has been a bust.,
00:16:20,,바로 그 얘기 하는 거잖아!
00:16:21,FEAR: That's what I've been telling you guys!,
00:16:22,,지금 라일리가 무서워해야 할 게 적어도 37개는 있다고
00:16:23,There are at least 37 things for Riley to be scared of right now.,
00:16:24,,이 냄새만으로도 숨이 막힐 거야
00:16:25,The smell alone is enough to make her gag.,
00:16:26,,엄마 아빠가 여기로 이사왔다니 믿을 수가 없군
00:16:27,ANGER: I can't believe Mom and Dad moved us here!,
00:16:28,,"봐, 알겠어 너희들 너무 걱정하고 있어"
00:16:29,"Look, I get it. You guys have concerns.",
00:16:30,,그치만 우린 최악의 상황도 겪었었잖아
00:16:31,But we've been through worse!,
00:16:32,,"자, 라일리가 기뻐할 만한 것들의 목록을 짜 보자"
00:16:33,"Tell you what, let's make a list of all the things",
00:16:34,Riley should be happy about.,
00:16:36,,"좋아, 보자. 이 집은 냄새나고 우리 방도 냄새나고"
00:16:37,"Fine. Let's see, this house stinks, our room stinks.",
00:16:38,,여기 피자도 이상해 - 친구들은 집에 있지
00:16:39,Pizza is weird here. Our friends are back home.,
00:16:40,,우리 물건은 다 여기 없는 이삿짐차에 있지!
00:16:41,And all of our stuff is in the missing van!,
00:16:42,,"아, 좀 최악은 아니잖아"
00:16:43,"Oh, come on. It could be worse.",
00:16:44,,"그래, 더러운 바닥에서 가방 덮고 있을수도 있겠지"
00:16:45,"Yeah, Joy. We could be lying on the dirty floor. In a bag.",
00:16:47,,"그래, 인정할게 시작은 안 좋아"
00:16:48,"Okay, I admit it, we had a rough start.",
00:16:50,But think of all the good things that...,"하지만 좋은 일들만 생각하면... - 아니, 기쁨아"
00:16:52,"No, Joy. There's absolutely no reason for Riley",지금 라일리가 행복해야 할 이유가 전혀 없어
00:16:54,to be happy right now.,
00:16:55,,우리가 맡지
00:16:56,Let us handle this.,내일 학교 빠지고 침실에 박혀있자
00:16:57,I say we skip school tomorrow,
00:16:58,and lock ourselves in the bedroom.,
00:16:59,,깨끗한 옷도 없단 말이야
00:17:00,"We have no clean clothes. I mean, no one should see us.",숨 막힐 정도로 울 수도 있겠지
00:17:01,"Yeah, we could cry until we can't breathe.",
00:17:02,,문을 잠그고 악담이란 악담은 다 질러대는 거야
00:17:03,We should lock the door and scream that curse word we know.,
00:17:05,,이거 괜찮지 - 잠깐 기다려 봐
00:17:06,It's a good one! Now hold on!,
00:17:07,,"자, 오늘 다들 일진이 안 좋았는데..."
00:17:08,"Look, we all have our off days.",
00:17:10,"You know... Hi, honey.","안녕, 얘야"
00:17:11,,엄마 기차가 나쁜 소식을 싣고 옵니다!
00:17:12,The Mom bad news train is pulling in.,
00:17:15,Toot-toot!,아직 이삿짐차는 안 왔어
00:17:16,Still no moving van. (SCOFFS),
00:17:17,,이젠 화요일까진 안 온대. 믿겨지니?
00:17:18,"Now they're saying it won't be here till Tuesday, can you believe it?",
00:17:21,Toot-toot-toot!,아빠는요? - 통화중이셔
00:17:22,Where's Dad? On the phone.,
00:17:23,,이 새 모험으로 꽤 바쁘신가봐
00:17:24,This new venture is keeping him pretty busy.,
00:17:25,,"자, 내 말대로지"
00:17:26,I rest my case!,
00:17:28,"MOM: Oh, your dad's a little stressed,",
00:17:29,"you know, about getting his new company up and running.",
00:17:30,,"자, 간만에 노려보기 갈까"
00:17:31,Now for a few well-placed withering scowls.,
00:17:34,(SIGHS),정말로 해 주고 싶은 말이 있는데...
00:17:36,"I guess all I really want to say is, thank you.",
00:17:37,,고마워
00:17:38,,"그러니까, 이렇게 정신없었는데도 넌..."
00:17:39,"Huh? MOM: You know,",
00:17:40,through all this confusion you've stayed...,
00:17:43,,행복한 아이로 남아 주었잖니
00:17:44,"(LAUGHS) Well, you've stayed our happy girl.",
00:17:46,,아빠가 스트레스를 많이 받으시거든
00:17:47,"MOM: Your dad's under a lot of pressure,",
00:17:48,,하지만 우리가 계속 웃어 준다면 큰 도움이 될 거야
00:17:49,"but if you and I can keep smiling,",
00:17:52,it would be a big help.,"그래줄 수 있지, 응?"
00:17:54,We can do that for him. Right?,
00:17:57,Whoa.,
00:17:58,,뭐...
00:17:59,JOY: Well.,
00:18:00,,"예, 물론이죠"
00:18:01,"Yeah, sure.",
00:18:02,,네가 우리에게 얼마나 과분한지!
00:18:03,What did we do to deserve you?,
00:18:08,,좋은 꿈 꾸렴 - 안녕히 주무세요
00:18:09,Sweet dreams. RILEY: Good night.,
00:18:11,,"뭐, 엄마랑 싸울 순 없지"
00:18:12,"Well, you can't argue with Mom. Happy it is.",
00:18:13,,행복하군 - 엄마랑은 못 싸우지
00:18:14,Team Happy! Sounds great!,"행복하네, 좋아 - 너만 믿어, 기쁨아"
00:18:16,"Totally behind you, Joy.",
00:18:18,,렘 수면으로 들어가는 것 같아
00:18:19,Looks like we're going into REM.,내가 꿈 담당이니 장기 기억 전송도 맡을게
00:18:20,"I got Dream Duty, so I'll take care",
00:18:22,of sending these to Long Term.,"오늘 잘 했어, 얘들아 다 좋아, 행복한 팀!"
00:18:23,"JOY: Great day today, guys!",
00:18:25,"Oh, sleep well, Team Happy! (ALL TALKING AT ONCE)",
00:18:28,,"좋아, 오늘밤은 뭐지 꿈 제작소?"
00:18:29,"All right, what's on tonight, Dream Production?",
00:18:31,(MUSIC PLAYING),
00:18:36,(TIRES SCREECHING),"자, 여기야 우리 새 집이다"
00:18:37,"Well, this is it. The new place.",
00:18:39,(THUNDER CRASHING),
00:18:40,(VOICES MOANING),
00:18:41,,"나랑 살자, 라일리"
00:18:42,"Come live with me, Riley. (GRUNTS)",
00:18:44,,"누가 브로콜리 피자를 시키셨네요 - 날 먹어, 몸에 좋아!"
00:18:45,Somebody order a broccoli pizza?,
00:18:47,Eat me! I'm organic!,
00:18:49,,대체 누가 꿈 제작을 맡은 거야?
00:18:50,(SIGHS) No! Who is in charge of programming down there?,
00:18:53,,이러고 싶지는 않지만...
00:18:54,"I know I'm not supposed to do this, but...",
00:19:00,,하루를 이렇게 끝낼 순 없지
00:19:01,We are not going to end the day like this.,
00:19:24,(RILEY LAUGHING),
00:19:46,,걱정하지 마
00:19:47,Don't you worry.,내일도 멋진 날로 만들어 줄 테니
00:19:48,I'm gonna make sure that tomorrow is another great day.,
00:19:52,,약속해
00:19:53,I promise.,
00:19:55,(RILEY GIGGLES),
00:20:02,(ENERGETIC MUSIC PLAYING),
00:20:06,,"안녕, 내가 깨웠나? - 그걸 연주해야겠어?"
00:20:07,Hello! Did I wake you?,
00:20:08,"ANGER: Do you have to play that? Well, I have to practice.","어, 연습해야해서"
00:20:10,,그리고 껴안기보다 연주를 더 많이 했던가?
00:20:11,And I don't think of it as playing so much as hugging.,
00:20:13,,"좋아, 학교 첫 날이야 정말정말 흥분돼"
00:20:15,"Okay, first day of school!",
00:20:16,"Very, very exciting.","늦게까지 안 자고 새 계획을 짜 봤지, 이거야"
00:20:17,I was up late last night figuring out a new plan.,
00:20:19,Here it is! Fear. (GASPS),"소심아, 새 학교 첫 날에 가능한 모든 불상사 목록이 필요해"
00:20:21,I need a list of all the possible,
00:20:22,negative outcomes on the first day at a new school.,
00:20:24,,제대로 맡고 있지 운석 충돌은 생각 못 했을 걸
00:20:25,"Way ahead of you there. Does anyone know how to spell ""meteor""?",
00:20:26,,"까칠아, 오늘은 라일리가 눈에 띄게 해 줘"
00:20:27,Disgust. Make sure Riley stands out today.,
00:20:28,,그러면서도 잘 어울리게
00:20:29,But also blends in.,"내가 손보면, 라일리가 너무 돋보여서 다들 자기 옷 보고 토할걸"
00:20:30,"When I'm through, Riley will look so good,",
00:20:32,the other kids will look at their own outfits and barf.,
00:20:33,,"기쁨아! 그래, 기쁨아 너는 제어를 맡아"
00:20:34,"""Joy."" ""Yes, Joy?""",
00:20:36,"""You'll be in charge of the console,",라일리가 하루 종일 행복하도록
00:20:37,"""keeping Riley happy all day long.",
00:20:38,,"그리고 덧붙이자면 옷 맘에 든다, 예뻐"
00:20:39,"""And may I add I love your dress? It's adorable.""","아, 이 낡은 거? 고마워 이 물결 맘에 들어"
00:20:40,"""Oh, this old thing? Thank you so much.",
00:20:42,"""I love the way it twirls.""",
00:20:43,(TRAIN HORN BLOWS) Train of Thought! Right on schedule.,생각 기차다 딱 맞춰 왔네
00:20:46,(TRAIN HONKS HORN),
00:20:47,,버럭아 공상을 내려 줘
00:20:48,Anger. Unload the daydreams.,
00:20:49,,수업이 따분해질 경우를 대비해 추가로 준비했지
00:20:50,I ordered extra in case things get slow in class.,
00:20:51,,쓸모있겠군. 새 학교가 지루하고 쓸모없는 수업뿐이면
00:20:52,It might come in handy. If this new school is full of,
00:20:54,"boring, useless classes. Which it probably will be.",
00:20:55,,아마 쓸모있을 거야
00:20:56,,"오, 슬픔아. 네게 줄 아주 중요한 일이 있어"
00:20:57,Oh. Sadness. I have a super important job just for you.,
00:21:00,,"정말? - 그럼, 따라와"
00:21:01,Really? Mmm-hmm. Follow me.,
00:21:04,,"뭐 하는 거야? - 자, 완벽해"
00:21:05,What are you doing? And there. Perfect!,
00:21:07,,슬픔의 동그라미야
00:21:08,This is the circle of Sadness.,
00:21:09,,네 일은 모든 슬픔이 이 안에만 있도록 하는 거지
00:21:10,Your job is to make sure that,
00:21:12,all the Sadness stays inside of it.,
00:21:14,,그러니까 여기 그냥 서 있으라고?
00:21:15,So you want me to just stand here?,
00:21:16,,"자, 네 일은 내가 설명할 게 아니지"
00:21:17,"Hey, it's not my place to tell you how to do your job.",
00:21:19,,그냥 모-든 슬픔이 이 원 안에만 있도록 해
00:21:20,Just make sure that all the Sadness,
00:21:24,stays in the circle!,"봐, 엄청 잘 하네 재밌지 않아?"
00:21:25,See? You're a pro at this! Isn't this fun?,
00:21:27,,재미없어 - 잘하네!
00:21:28,No. Atta girl.,"좋아, 모두들 시작이 좋아"
00:21:29,"All right, everyone, fresh start.",
00:21:30,,좋은 하루를 보낼 거고 그럼 좋은 한 주가 될 거고
00:21:31,"We are gonna have a good day, which will turn into a good week,",
00:21:32,,좋은 한 해가 될 거고 좋은 일생이 될 거야!
00:21:33,"which will turn into a good year,",
00:21:34,which turns into a good life!,
00:21:35,,"그래, 중요한 날이야 새 학교, 새 친구들"
00:21:36,"So, the big day! New school, new friends, huh?",
00:21:38,,"알아요, 긴장되지만 또 흥분돼요"
00:21:39,"I know! I'm kind of nervous, but I'm mostly excited.",
00:21:40,,저 어때요? 맘에 드나요? - 아주 귀여워
00:21:41,How do I look? Do you like my shirt?,
00:21:43,MOM: Very cute!,괜찮을 거야 우리가 같이 가 줄까?
00:21:44,Are you gonna be okay? You want us to walk with you?,
00:21:45,,"엄마, 아빠가 다 같이? 아뇨, 됐네요"
00:21:46,Mom and Dad? With us in public? No thank you.,
00:21:48,,"옙, 내가 할게"
00:21:49,Uh... I'm on it!,"아뇨, 괜찮아요 안녕, 엄마. 안녕, 아빠"
00:21:50,"Nope! I'm fine. Bye, Mom. Bye, Dad.",
00:21:51,,학교 잘 다녀오렴 우리 원숭이
00:21:52,"Have a good day at school, monkey.",
00:21:54,(IMITATING MONKEY GRUNTING),
00:21:58,,"좋은 하루 보내렴, 얘야"
00:21:59,"MOM: Have a great day, sweetheart!",
00:22:01,GIRL #1: That's crazy. It really is.,
00:22:03,GIRL #2: That was so funny.,
00:22:05,BOY: Do you know what basketball game is coming up?,
00:22:07,,정말 해야겠어? - 들어간다
00:22:08,FEAR: Are you sure we want to do this?,"그래, 들어간다! 좋아"
00:22:09,JOY: In we go! FEAR: Okay! Going in! Yes!,
00:22:13,(INDISTINCT CONVERSATIONS),
00:22:16,GIRL: Did you see her? Hello!,"좋아, 2시방향 멋들어진 여자애들 발견"
00:22:17,"DISGUST: Okay, we've got a group of cool girls at two o'clock.",
00:22:18,,"어떻게 알아? - 쌍귀고리, 목도리..."
00:22:19,"How do you know? Double ears pierced,",
00:22:21,infinity scarf.,"와, 아이섀도우도 해? - 그래, 친구가 되고 싶네"
00:22:22,JOY: Whoa. Is she wearing eye shadow?,
00:22:23,"Yeah, we want to be friends with them. Let's go talk to them!",
00:22:24,,가서 말 걸어 보자! - 장난하니?
00:22:25,Are you kidding? We're not talking to them.,말 안 걸 거야 우릴 좋아하게 만들어야지
00:22:27,We want them to like us.,
00:22:28,,"오... 그래 잠깐, 뭐?"
00:22:29,"Oh. Yeah. Wait, what?",가능한 불상사는 거의 다 정리해 뒀지
00:22:30,Almost finished with the potential disasters.,
00:22:31,,최악의 시나리오는 유사 아님 자연발화
00:22:32,"Worst scenario is either quicksand,",
00:22:34,"spontaneous combustion,",
00:22:35,,선생님이 부른다던가 그런 일만 안 일어나면...
00:22:36,or getting called on by the teacher.,
00:22:38,So as long as none of those happen...,"좋아요, 여러분 오늘은 전학생이 있어요"
00:22:39,"Okay, everybody. We have a new student in class today.",
00:22:40,,장난하냐! 벌써 시작이야 이럴 리 없어!
00:22:42,Are you kidding me? Out of the gate?,
00:22:44,This is not happening!,"라일리, 네 소개를 좀 해 주겠니?"
00:22:45,"Riley, would you like to tell us something about yourself?",
00:22:46,,안 돼! 영어 못 하는 척 해
00:22:48,No! Pretend we can't speak English.,
00:22:49,,"걱정 마, 내가 할게"
00:22:50,Don't worry. I got this.,
00:22:52,Uh... Okay.,네...
00:22:53,,제 이름은 라일리 앤더슨입니다
00:22:54,My name is Riley Andersen.,
00:22:55,,미네소타에서 와서 여기 살고요
00:22:56,I'm from Minnesota and now I live here.,
00:23:00,,미네소타는 어땠니?
00:23:01,TEACHER: And how about Minnesota?,
00:23:03,,얘기 좀 해 줄래?
00:23:04,Can you tell us something about it?,우리보다 눈을 더 많이 맞았었겠구나
00:23:05,"Well, you certainly get a lot more snow than we do.",
00:23:08,(LAUGHING),
00:23:09,,진짜 웃기다
00:23:10,She's hilarious!,
00:23:12,,"네, 정말 추워요"
00:23:13,"Yeah, it gets pretty cold.",
00:23:14,,호수가 얼어붙으면 거기서 하키를 하죠
00:23:15,"The lake freezes over,",
00:23:16,and that's when we play hockey.,멋진 팀에 있었어요 프레리독이라고 했죠
00:23:17,I'm on a great team. We're called the Prairie Dogs.,
00:23:19,,제 친구 메그는 포워드였고 아빠가 코치였어요
00:23:20,My friend Meg plays forward. And my dad's the coach.,
00:23:22,,가족들이 스케이트를 아주 많이 탔어요
00:23:23,Pretty much everyone in my family skates.,
00:23:24,,가족 전통 같은 거에요
00:23:26,It's kind of a family tradition.,거의 매 주말에 호수로 나가구요
00:23:27,We go out on the lake almost every weekend.,
00:23:31,,아니 그랬었죠...
00:23:32,"Or we did, till I moved away.",이사 오기 전까진요
00:23:34,,"어, 무슨 일이야? - 뭐?"
00:23:35,"Hey, what gives? Wait, what?","저기, 슬픔아 기억을 만졌어"
00:23:36,"Hey, Sadness! You touched a memory? We talked about this.",
00:23:38,,"전에 얘기했잖아 - 아, 그래. 알지만 난..."
00:23:40,"Oh, yeah, I know. I'm sorry.",
00:23:41,,네 동그라미로 돌아가
00:23:42,Get back in your circle. (SIGHS) What's going on?,"아, 무슨 일이야?"
00:23:44,,"어서 빼 내, 기쁨아 - 빼!."
00:23:45,"Why won't it eject? Get it out of there, Joy.",
00:23:46,,경기나 그런 걸 했었어요
00:23:47,(SNIFFLING) We used to play tag and stuff.,
00:23:48,,멋들어진 애들 3시 전방 속삭이는 중
00:23:49,Cool kids whispering at three o'clock!,
00:23:50,,저 표정 봤어? 우릴 재보고 있어!
00:23:51,"FEAR: Did you see that look? JOY: Oh, no.",
00:23:52,They're judging us!,
00:23:53,(ALL STRAINING),이거 잡는 것 좀 도와줘 모두들 좀...
00:23:55,JOY: Somebody help me! Grab that... Everybody put...,
00:23:56,,"하지만, 이제 다 달라졌죠..."
00:23:57,But everything's different now.,
00:23:59,,이사한 뒤로는요
00:24:00,Since we moved.,
00:24:03,(SNIFFLES),"오, 안 돼 울면서 찌푸리고 있어!"
00:24:04,"Oh, no! We're crying! At school!",
00:24:06,,뭐? 슬픔아 뭐 하는 거야!
00:24:07,What? Sadness! What are you doing?,
00:24:11,"Oh, no! Oh, I'm sorry!","미안해, 나는..."
00:24:13,JOY: Huh?,
00:24:14,FEAR: (GASPS) It's a Core Memory!,핵심 기억이야 - 하지만 파란색인데
00:24:16,But it's blue.,
00:24:18,(ALL GASP),"안 돼, 기다려!"
00:24:20,No! Wait! Stop it! No! Ah! No!,"멈춰, 안 돼!"
00:24:21,,안 돼!
00:24:29,,"기쁨아, 안 돼"
00:24:30,"Joy, no.",
00:24:31,,핵심 기억이라구! - 야!
00:24:32,That's a Core Memory! Hey!,"그만 해, 놔 줘 - 안 돼, 기다려!"
00:24:33,"Joy, wait! Stop it! Let go!",
00:24:34,,핵심 기억이!
00:24:35,FEAR: Ah! The Core Memories!,
00:24:41,(EXCLAIMS),
00:24:46,(GASPS),
00:24:50,,"안 돼, 안 돼..."
00:24:51,"No, no, no, no!",
00:24:56,Whoa! Whoa!,
00:24:59,(FEAR GASPS),
00:25:05,,"고맙다, 라일리"
00:25:06,"TEACHER: Thank you, Riley.",새로운 곳으로 이사오는 게 힘들단 건 알아
00:25:07,"I know it can be tough moving to a new place,",
00:25:09,,하지만 네가 와서 우린 정말 기쁘단다
00:25:10,but we're happy to have you here.,
00:25:11,,"좋아요, 여러분 역사책을 꺼내세요"
00:25:12,"All right, everyone, get out your history books",
00:25:14,,그리고 7장을 펴세요
00:25:15,and turn to chapter seven.,
00:25:18,,이제 악담 해도 돼?
00:25:19,Can I say that curse word now?,
00:25:21,(BOTH EXCLAIMING),
00:25:38,(SADNESS SCREAMING) Ah!,
00:25:41,,"안 돼 1, 2, 3, 좋아"
00:25:42,"Oh, no! One, two, three. Okay.",
00:25:45,,안 되지... 무슨?
00:25:46,I got them. Where are we?,
00:25:50,Long Term Memory? Wait...,장기 기억...?
00:25:51,,하지만...
00:25:58,,엉뚱섬...?
00:25:59,Goofball Island?,
00:26:01,,라일리의 인격 섬들이 죄다 꺼졌어!
00:26:02,SADNESS: Riley's Islands of Personality.,
00:26:04,They're all down!,
00:26:05,,"오우, 이거 안 좋아"
00:26:07,Oh! This is bad.,
00:26:08,,우리... 해결할 수 있어!
00:26:09,We... We can fix this!,
00:26:10,,본부로 돌아가서...
00:26:11,"We just have to get back to Headquarters,",
00:26:12,,핵심 기억만 돌려놓으면 라일리는 정상으로 돌아갈거야
00:26:13,"plug the Core Memories in,",
00:26:15,and Riley will be back to normal.,
00:26:17,Riley has no Core Memories.,라일리에겐 핵심 기억이 없어!
00:26:19,,인격 섬도 없고 또...
00:26:20,No Personality Islands and no...,
00:26:22,(GASPS),"뭐, 뭔데?"
00:26:23,What? What is it?,"너, 너도 본부에 없잖아"
00:26:24,You.,
00:26:26,You're not in Headquarters.,네가 없으면 라일리는 행복할 수 없어
00:26:27,"Without you, Riley can't be happy.",
00:26:30,,저기로 돌아가야 해
00:26:31,We got to get you back up there.,
00:26:32,,"내가 갈게, 라일리"
00:26:33,"I'm coming, Riley.",
00:26:48,,그래서 녹색 쓰레기통은 재활용이 아니라 비료더라구요
00:26:49,"So, as it turns out, the green trash can",
00:26:51,"is not recycling, it's for greens.",
00:26:52,,아시아의 합성수지처럼요
00:26:53,Like compost. And eggshells. Mmm.,
00:26:54,,파란색이 재활용이고 검정색은...
00:26:55,And the blue one is recycling.,
00:26:56,MOM: And the black one is trash. Riley is acting so weird.,라일리 행동이 이상해
00:26:57,,왜 저렇게 이상하지? - 뭘 기대했어?
00:26:58,Why is she acting so weird?,
00:26:59,What do you expect? All the Islands are down.,섬들이 다 꺼졌잖아!
00:27:01,,조이는 해결할 수 있겠지
00:27:02,Joy would know what to do.,바로 그거야!
00:27:03,That's it.,우리가 조이처럼 하면 되는 거야!
00:27:04,"Until she gets back, we just do what Joy would do!",
00:27:06,,좋은 생각이야!
00:27:07,"Great idea. Anger, Fear, Disgust,","버럭이, 소심이, 까칠이"
00:27:09,,우리가 어떻게 행복하게 해?
00:27:10,how are we supposed to be happy?,
00:27:11,,"자, 라일리 좋은 소식이 있어"
00:27:12,"MOM: Hey, Riley. I've got good news!",
00:27:13,,샌프란시스코 주니어 하키 리그를 찾았는데
00:27:14,I found a junior hockey league right here in San Francisco.,
00:27:16,,내일 방과후에 연습이 있대
00:27:17,And get this: Try-outs are tomorrow,
00:27:19,"after school. What luck, right?","행운이지, 응?"
00:27:20,,"하키? - 이런, 어떡하지?"
00:27:21,Hockey? Uh-oh. What do we do?,
00:27:22,"(STUTTERING) Guys, this is...","얘들아, 그게..."
00:27:23,,네가 한 번 해 봐!
00:27:24,You pretend to be Joy.,다시 하키하게 된 게 기쁘지 않아?
00:27:25,Won't it be great to be back out on the ice?,
00:27:28,,"예, 멋지기도 하네요"
00:27:29,"Oh, yeah, that sounds fantastic.",
00:27:31,,뭐야! 기쁨이 같지도 않았어!
00:27:32,What was that? That wasn't anything like Joy!,
00:27:33,,"어, 난 기쁨이가 아니잖아"
00:27:34,"Uh, because I'm not Joy. Yeah, no kidding.",
00:27:35,,"하, 진짜"
00:27:38,,저거 눈치챘어?
00:27:39,Did you guys pick up on that?,
00:27:40,Mmm-hmm. Something's wrong. Totally.,뭔가 잘못됐어 - 물어봐야 할까?
00:27:42,Should we ask her?,조사해 보자. 하지만 알아채지 못하게 조심히
00:27:43,"Let's probe. But keep it subtle,",
00:27:45,so she doesn't notice.,
00:27:46,,"그래, 학교 첫날은 어땠니?"
00:27:47,"So, how was the first day of school?",
00:27:48,,조사하고 있어
00:27:49,She's probing us.,난 됐다. 네가 기쁨이 해 - 뭐?
00:27:50,I'm done. You pretend to be Joy.,
00:27:51,"What? Okay. Um, hmm.","좋아, 음..."
00:27:53,,좋았던 것 같아요...
00:27:54,"It was fine, I guess. I don't know.",
00:27:55,,모르겠어요
00:27:56,,참 자연스럽네
00:27:57,Oh. Very smooth. That was just like Joy.,
00:27:58,,딱 기쁨이 같았어
00:27:59,,분명 무슨 일이 있어
00:28:00,Something is definitely going on.,
00:28:01,,전엔 이런 적 없었는데
00:28:02,She's never acted like this before. What should we do?,
00:28:03,,어떡하지?
00:28:04,,무슨 일인지 알아내야지
00:28:05,We're going to find out what's happening.,지원이 필요해 남편에게 신호를 보내
00:28:06,But we'll need support.,
00:28:08,Signal the husband.,
00:28:10,Ahem!,
00:28:12,"ANNOUNCER: With a nice pass over to Reeves,",리드를 지나친 좋은 패스 콘스탄스가 중앙선을 넘습니다
00:28:15,comes across ...and nice!,
00:28:16,(CLEARS THROAT),
00:28:18,,"어우, 우릴 보고 있어"
00:28:19,"Uh-oh. She's looking at us. Uh, what did she say?",
00:28:21,,뭐라고 했지? - 뭐?
00:28:23,"What? Oh! Sorry, sir. No one was listening.","오, 죄송합니다 아무도 안 들었습니다"
00:28:25,,쓰레기 버리는 날인가? 변기 커버 안 올렸나
00:28:26,Is it garbage night? We left the toilet seat up?,
00:28:27,,"뭐? 뭐야, 정말? 뭔데?"
00:28:28,"What? What is it, woman? What?",
00:28:29,,또 저 멍청한 표정이야 - 아주 목을 졸라버릴 거야!
00:28:30,"Ugh, he's making that stupid face again.",
00:28:32,MOM'S ANGER: I could strangle him right now.,
00:28:33,,다시 신호를 줘 봐
00:28:34,Signal him again.,
00:28:37,,"아, 그래서..."
00:28:38,"Ah! So, Riley, how was school?","라일리, 학교는 어땠니?"
00:28:40,,"아, 시간 낭비다 - 진짜 장난하나"
00:28:41,You got to be kidding me! Seriously?,
00:28:42,,이것 때문에 브라질 헬기 조종사를 포기해야 해?
00:28:43,For this we gave up that Brazilian helicopter pilot?,
00:28:45,,비켜! 내가 기쁨이 되지
00:28:46,Move! I'll be Joy.,
00:28:47,,"학교 좋았어요, 됐나요?"
00:28:48,"School was great, all right?",
00:28:49,,"라일리, 정말 괜찮은 거니?"
00:28:50,Riley. Is everything okay?,
00:28:52,Ugh!,막 우리보고 눈을 빙 굴렸습니다
00:28:53,"Sir, she just rolled her eyes at us.",
00:28:54,,대체 뭔 생각이야?
00:28:55,What is her deal?,
00:28:56,,"좋아, 실력 행사다 혼내고 싶지는 않지만"
00:28:57,"All right, make a show of force.",
00:28:58,"I don't want to have to put ""the foot"" down.",
00:28:59,,"아뇨, 혼내는 건 안 돼요"
00:29:00,"No, not the foot!",
00:29:01,,"라일리, 그런 태도는 맘에 안 드는구나"
00:29:02,"Riley, I do not like this new attitude.",
00:29:03,,"좋아, 진짜 태도 한 번 보여 주지, 늙은이"
00:29:04,"Oh, I'll show you attitude, old man.",
00:29:05,,"아니, 아니 행복하게 있어야지"
00:29:06,"No. No, no, no! Stay happy!",
00:29:07,,뭐가 문제에요? 그냥 내버려 두세요
00:29:08,What is your problem? Just leave me alone!,
00:29:09,,건방짐 수치가 매우 높습니다!
00:29:10,"Sir, reporting high levels of sass!",
00:29:12,,데프콘 2 발령이다!
00:29:13,Take it to DEFCON Two.,제군들 들었지 데프콘 2다!
00:29:14,"You heard that, gentlemen. DEFCON Two.",
00:29:16,(ALARMS BLARING),"자, 얘야. 왜 그렇게 예의없어졌는지는 모르겠지만"
00:29:17,"Listen, young lady, I don't know where...",
00:29:19,this disrespectful attitude came from...,
00:29:20,,"해 보자는 거지, 아빠 한 번 해 보시지!"
00:29:21,"You want a piece of this, pops?",
00:29:23,Come and get it!,"예, 저. 저..."
00:29:24,"Yeah, well... Well...",
00:29:25,,"좋아, 간다 야단을 준비해라!"
00:29:26,Here it comes. Prepare the foot!,
00:29:28,,제어 키 위치로!
00:29:29,Keys to safety position.,
00:29:32,,발사 명령 대기중입니다
00:29:33,"Ready to launch on your command, sir!",
00:29:36,(YELLING),좀 조용히 해요!
00:29:37,Just shut up!,
00:29:39,,발사!
00:29:40,Fire!,"됐다, 네 방으로 가라"
00:29:41,That's it! Go to your room! Now!,
00:29:43,,당장
00:29:45,Uh!,
00:29:47,(RILEY GRUNTING),야단이에요 야단 첬습니다
00:29:48,The foot is down! The foot is down!,
00:29:51,(ALL CHEERING),
00:29:52,,"잘 했다, 제군들 큰 일 날 수도 있었어"
00:29:53,"Good job, gentlemen.",
00:29:54,That could have been a disaster.,
00:29:56,,저건 진짜 큰일인데
00:29:57,"Well, that was a disaster.",
00:30:01,,"나와 함께 날아갑시다, 소녀여"
00:30:02,"Come fly with me, gatinha.",
00:30:05,(ALL SIGHS),
00:30:10,(RUMBLING),
00:30:15,(JOY SIGHS),
