time,line,translation,
2770 ,Really? Because she seemed to recognize you.,이 여자는 널 아는 것 같던걸,
2774 ,What about the note?,그 쪽지는?,
2776 ,We'll worry about the note later.,그건 나중에 걱정하자,
2780 ,I think you should worry about it now.,지금 걱정해야 될 거야,
2782 ,We've got enough to deal with at the moment.,지금 그거 신경 쓸 겨를 없어,
2786 ,"He's right, Newt.",토마스가 옳아 뉴트,
2788 ,"If the Box isn't coming back up, how long do you think we can last?",박스가 안 올라오면 우리가 얼마나 버티겠어?,
2792 ,No one said that.,누가 안 올라온대?,
2795 ,Let's not jump to any conclusions.,아무도 모르니까 지레 겁먹지 마,
2798 ,We'll just wait until she wakes up and see what she knows.,이 여자가 깨어나면 뭘 아는지 알아내자,
2801 ,Somebody has gotta have some answers around here.,누군가는 해답을 갖고 있겠지,
2806 ,Okay.,그래,
2808 ,Where are you going?,어디 가?,
2808 ,Back into the maze.,다시 미로에 갈 거야,
2818 ,"Hey, Thomas.","야, 토마스",
2821 ,"What is this with you, huh? A death wish?",왜 그래? 죽고싶어 환장했어?,
2825 ,You just got out and now you want back in?,겨우 나왔는데 다시 들어간다구?,
2828 ,"Newt said that no one has ever seen a Griever and lived to tell about it, right?",뉴트는 그리버 만나서 살아남은 사람 없댔지?,
2832 ,"Minho, now we have one.",우린 놈을 봤어,
2835 ,You're telling me you're not even a little bit curious?,근데 궁금하지 않아?,
2838 ,"Not really, no.","응, 전혀",
2840 ,"So, what's the plan?",어쩔 생각인데?,
2846 ,You're gonna go out and dissect that thing all by yourself?,혼자서 그 자식을 해부라도 하겠다?,
2848 ,I will if I have to.,그래야만 한다면!,
2850 ,Have the other runners left yet?,다른 러너들 갔어?,
2853 ,The other runners quit this morning.,오늘 아침에 다 그만뒀어,
2855 ,"After Alby got stung, they're not in any hurry to get back out there.",알비가 찔린 후로 미로에 들어가길 주저해,
2861 ,Why are you?,넌 왜 가려는 거야?,
2865 ,I think it's time we find out what we're really up against.,우리가 싸우는 상대가 뭔지 알아야겠어,
2869 ,All right.,좋아,
2874 ,But you're not going back out there alone.,하지만 너 혼자는 못 보내,
2877 ,Meet me in the woods in half-an-hour.,30분 후에 숲에서 만나자,
2897 ,Will this be enough?,이 정도면 되겠어?,
2904 ,Okay.,좋아,
2909 ,Let's go.,가자,
2911 ,Come on!,서둘러,
2929 ,That's disgusting.,더럽게 역겹네,
2953 ,There's something in there.,안에 뭔가가 있어,
2956 ,"You mean, besides a Griever pancake?",그리버 팬케이크 말고 뭐가 더 있다고?,
2959 ,"Whoa, what are you doing?","잠깐만, 어쩌려구?",
2983 ,I thought you said it was dead.,죽었다고 했잖아,
2987 ,Was it a reflex?,반사 신경인가?,
2988 ,You hope.,그럼 좋겠다,
2990 ,"Okay, come on. Let's try and pull it out.",좋아 끄집어내자,
2994 ,Everyone get a hand on it. Come on.,다 달라붙어,
2996 ,"All right, ready? On three.",준비됐어? 셋 셀게,
2998 ,"One, two, three!","하나, 둘, 셋!",
3008 ,"Are you okay, Fry? -","괜찮아, 프라이?",
3011 ,"Yeah. Thanks, brother.","응, 고마워",
3041 ,What the hell is that?,그게 뭐야?,
3048 ,Interesting.,흥미롭네,
3058 ,"Okay, whatever it is...",그게 뭐든,
3060 ,can we take this up back at the Glade?,글레이드로 가서 얘기하면 안될까?,
3062 ,Because I don't want to meet this guy's friends.,이 그리버 친구들을 만나긴 싫거든,
3065 ,He's right.,그래,
3066 ,It's getting late. Come on.,시간이 늦었어 돌아가자,
3069 ,We found this.,이걸 찾았어,
3082 ,It was inside a Griever.,그리버 몸속에서,
3084 ,These are the same letters we get in our supplies.,보급품에 적힌 것과 같은 문구잖아,
3087 ,Yeah. Whoever put us here obviously made the Grievers.,그래. 우릴 여기 보낸 자들이 그리버를 만든 거야.,
3091 ,"This is the first real clue, the first anything, you've found in over 3 years. Right, Minho?","이게 3년 만에 처음 찾아낸 진짜 단서지.  안 그래, 민호?",
3095 ,Right.,맞아,
3097 ,"Newt, we gotta go back out there. Who knows where this might lead us.","뉴트, 다시 미로로 들어가야 돼. 이걸 이용하면 출구를 찾을지도 몰라",
3103 ,"You see what he's trying to do, right?",이래도 토마스를 봐줄 거야?,
3107 ,First he breaks our rules...and then he tries to convince us to abandon them totally.,처음엔 룰을 깨뜨리더니 이젠 싸그리 무시하라고 꼬드기고 있잖아,
3112 ,The rules are the only thing that have ever held us together.,지금껏 룰이 있어서 여기가 잘 굴러갔어,
3115 ,Why now are we questioning that?,근데 왜 이제와서 깨뜨려?,
3118 ,"If Alby was here, you know he'd agree with me.",알비가 있었다면 내게 동의했을 거야,
3120 ,This shank needs to be punished.,이 초짜 자식은 벌을 받아야 돼,
3124 ,You're right.,맞아,
3133 ,Thomas broke the rules.,토마스는 룰을 어겼어,
3135 ,"One night in the pit, and no food.",벌은 음식 없이 구덩이에서 하룻밤,
3136 ,"Come on, Newt! One night in the pit?","지금 장난하냐, 뉴트? 겨우 하룻밤?",
3139 ,Do you think that's gonna stop him from going into the maze?,그걸로 미로에 가는 걸 막을 수 있을 것 같아?,
3142 ,No.,아니,
3143 ,And we can't just have non-runners running into the maze whenever they feel like it.,러너가 아닌데 미로에 들여보낼 순 없지,
3147 ,So let's just make this official.,그러니까 지금 정하자,
3150 ,"Starting from tomorrow, you're a runner.",내일부터 넌 정식으로 러너야,
3161 ,"Thanks, Newt.","고마워, 뉴트",
3170 ,"Hey, where are we going?",어디 가는 거야?,
3189 ,You'll see.,가보면 알아,
3217 ,It's the maze.,미로야,
3221 ,All of it.,전부 다...,
3223 ,"What do you mean ""all of it""? I thought you were still mapping it.",무슨 소리야? 아직 다 파악 못했다면서,
3229 ,There's nothing left to map.,더 파악할 게 없어,
3232 ,I've run every inch of it myself.,내가 구석구석 다 가봤어,
3235 ,Every cycle.,모든 주기,
3237 ,Every pattern.,모든 패턴,
3239 ,"If there was a way out, we would have found it by now.",나가는 길이 있다면 벌써 찾았겠지,
3244 ,Why haven't you told anyone this?,왜 다른 애들한테 말 안했어?,
3249 ,It was Alby's call.,알비 결정이었어,
3253 ,People needed to believe we had a chance of getting out.,여길 나갈 수 있다는 꿈을 갖게 해주자고...,
3256 ,But maybe now...we have a real chance.,근데 어쩌면 더 이상은 꿈이 아닐 거야,
3266 ,Take a look at this.,이걸 봐,
3268 ,"About a year ago, we started exploring these outer sections.",1년 전쯤 이쪽 외곽을 살피기 시작했는데,
3272 ,We found these numbers printed on the walls.,벽에 새겨진 숫자들을 발견했어,
3278 ,"See, the way it works, is every night, when the maze changes...it opens up a new section.",방식은 이래 매일밤 미로가 바뀔 때 새로운 구역이 열리는데,
3284 ,"So today, Section 6 was open.",오늘은 6구역이 열렸어,
3286 ,"Tomorrow, it will be 4, then 8, then 3.",내일은 4구역 그 다음은 8과 3구역,
3290 ,The pattern always stays the same.,패턴은 항상 똑같아,
3293 ,What's so special about 7?,7이 뭐가 특별하지?,
3298 ,I don't know.,나도 몰라,
3300 ,"But last night, when you killed that Griever... Section 7 was open.",어젯밤에 네가 그리버를 죽였을 때 7구역이 열렸어,
3305 ,I think it must be where it comes from.,아마도 놈이 온 곳이겠지,
3308 ,"Tomorrow, you and I are gonna take a closer look.",내일 우리 둘이서 자세히 살펴보자구,
3310 ,Hey! What are you guys doing? You're not allowed in here.,왜 왔어? 여긴 출입금지잖아,
3315 ,"Sorry, it's just the, uh...It's the girl.","미안해, 그게... 여자애 때문에",
3318 ,Is she awake?,깨어났어?,
3320 ,You could say that.,"뭐, 비슷해",
3321 ,"Chuck, what's going on?","척, 무슨 일이야?",
3324 ,Girls are awesome.,진짜 끝내주는 누나야,
3327 ,Leave me alone!,저리 가!,
3328 ,Watch your head!,머리 조심해,
3330 ,"Hey, throw one more of those things... Ow!","이봐, 또 던지면...",
3332 ,Go away!,저리 가!,
3333 ,We come in peace!,말로 하자구,
3334 ,What happened?,어떻게 된 거야?,
3334 ,Just duck!,고개 숙여,
3335 ,I don't think she likes us very much.,우리가 별론가 봐,
3337 ,What do You want from me?,나한테 뭘 원해?,
3337 ,We just wanna talk.,얘길 좀 하자구!,
3339 ,I'm warning you!,웃기지 마!,
3340 ,"Take cover, y'all! Take cover!","피해, 조심해!",
3343 ,"Hey, it's Thomas! It's Thomas!","그만해, 나 토마스야 토마스라구",
3346 ,"I'm gonna come up, okay?",내가 올라갈게 알았지?,
3354 ,Okay.,좋아,
3359 ,Just me.,혼자 갈게,
3362 ,I'm coming up.,올라간다,
3376 ,"Easy, all right?","진정해, 알았지?",
3378 ,Where am I?,여긴 어디야?,
3380 ,What is this place?,어떤 곳이지?,
3382 ,Why can't I remember anything?,왜 내가 아무것도 기억 못해?,
3384 ,This is all normal. Okay? We've all been through this.,그게 정상이야 우리도 다 그랬어,
3387 ,Okay?,알았지?,
3388 ,Your name will come back to you in a couple of days.,이틀쯤 지나면 이름이 기억날 거야,
3391 ,It's the one thing that...,그건...,
3391 ,Teresa.,트리사,
3393 ,What did you say?,뭐라구?,
3395 ,My name.,내 이름,
3397 ,It's Teresa.,트리사야,
3400 ,"Teresa, I'm Thomas.","트리사, 난 토마스야",
3403 ,"But you already knew that, though, I guess, huh?",알고 있었겠지만... 그치?,
3409 ,They said I kept saying your name in my sleep.,내가 잠결에 계속 네 이름을 불렀대,
3413 ,Who are you?,너 누구야?,
3414 ,I don't know.,나도 몰라,
3420 ,I can't remember.,기억 안나,
3425 ,None of us here can remember anything.,여기 모두가 아무것도 기억을 못해,
3428 ,We all woke up here just like you did.,너처럼 깨어보니 여기였어,
3431 ,"Hey, I promise...",정말이야,
3434 ,I'm gonna take this.,이건 나한테 줘,
3439 ,Okay.,좋아,
3443 ,What's going on up there?,어떻게 돼가?,
3446 ,Is she coming down?,내려오겠대?,
3452 ,"Hey, listen, you guys just give us a second, okay?",시간을 좀 줘 알았지?,
3463 ,All right.,좋아,
3466 ,Come on.,가자,
3468 ,Is this what all girls are like?,여자들이 원래 다 저래?,
3471 ,That girl is crazy.,미친 기집애야,
3475 ,"""She's the last one."" What does that mean?",'이 여자애가 마지막이다' 무슨 뜻이야?,
3482 ,I'm not sure.,나도 몰라,
3484 ,"Ever since you came up, that Box hasn't gone back down.",네가 온 후로 박스가 내려가질 않아,
3488 ,I just think it's got everyone a little worried.,그래서 다들 걱정이지,
3493 ,Especially Gally.,특히 갤리가...,
3497 ,He thinks it's my fault.,내 탓이라고 생각하는구나,
3502 ,Are you sure you don't remember anything else?,다른 건 아무것도 기억 안나?,
3509 ,I remember water...,물이 기억나,
3513 ,feeling like I was drowning.,익사하는 것 같은 느낌이었어,
3515 ,"These faces staring at me. And this woman's voice saying the same thing over and over. ""Wicked is good.""","날 쳐다보는 얼굴들, 같은 말을 계속 되풀이하는 어떤 여자의 목소리. '위키드는 좋은 일을 하는거야'",
3528 ,"Ever since I've been here, I've had these dreams. Well, I thought they were dreams. You... You were there.",여기 온 후로 계속 같은 꿈을 꿨어. 지금까진 꿈인 줄 알았지. 네가... 그 꿈에 나왔어,
3547 ,and you told me that everything was gonna change.,모든 게 바뀔 거라고 하면서...,
3551 ,What does it mean?,그게 무슨 뜻이야?,
3556 ,I don't know. I just always get pieces.,모르겠어 다 기억나는 건 아냐,
3561 ,And the others don't remember anything?,다른 애들은 아무것도 기억 못해?,
3564 ,No.,전혀,
3565 ,Why are we different?,우린 왜 다른 거지?,
3570 ,These were in my pocket when I came up.,주머니에 이게 들어있었어,
3589 ,"""Wicked is good.""",'위키드는 좋은 일을 하는거야',
3594 ,What if we were sent here for a reason?,우릴 여기 보낸 이유가 있지 않을까?,
3599 ,Alby.,알비!,
3605 ,We don't even know what this stuff is.,이게 무슨 약인지,
3607 ,We don't know who sent it.,누가 보냈는지도 모르잖아,
3608 ,Or why it came up here with you.,왜 널 통해서 이걸 보냈는지도...,
3610 ,"For all we know, this thing could kill him.",이게 알비를 죽일지도 몰라,
3613 ,He's already dying.,어차피 죽어가잖아,
3615 ,Look at him.,보라구,
3617 ,How could this possibly make it any worse?,더 나빠질 것도 없잖아?,
3622 ,"Come on, it's worth a try.",해볼 가치가 있어,
3625 ,All right.,좋아,
3629 ,Do it.,해봐,
3631 ,Okay.,좋아,
3644 ,You shouldn't be here! You shouldn't be here!,넌 여기 있으면 안돼!,
3646 ,No!,안돼!,
3647 ,Watch out!,조심해,
3651 ,Get the syringe! Let go!,주사기 줘 빨리!,
3655 ,"Well, that worked.",효과 있네,
3665 ,"Okay, from now on... someone stays here and watches him around the clock.",지금부터는 누가 남아서 24시간 알비를 지켜봐,
3676 ,"Sundown, Greenie. Time to go.","해가 졌어, 신참 가자구",
3682 ,"Hey, what is your problem with me?",왜 그렇게 날 싫어해?,
3700 ,"Everything started going wrong the minute you showed up. First Ben, then Alby... and now the girl.","네가 나타난 순간부터 모든 게 틀어졌어. 처음엔 벤, 그리고 알비, 이제 여자애까지",
3708 ,Everybody saw she recognized you.,그 여자애가 널 알아봤어,
3712 ,And I'm betting you know who she is.,장담하는데 너도 걔가 누군지 알겠지,
3724 ,Gally...,갤리,
3733 ,"you know we can't stay here forever, right?",너도 알잖아? 영원히 여기 있을 순 없어,
3759 ,Who's there?,거기 누구야?,
3760 ,It's just me.,나야,
3762 ,"Sorry, Chuck.","미안, 척",
3764 ,Here.,여기,
3766 ,You'll run better on a full stomach.,배가 든든해야 잘 뛰지,
3780 ,"Thanks, Chuck.","고맙다, 척",
3782 ,"Hey, what do you got there?",그건 뭐야?,
3789 ,"Wow, that came out pretty damn good.","우와, 잘 만들었는걸",
3798 ,What's that for?,누구 줄 건데?,
3799 ,It's for my parents.,우리 부모님,
3803 ,You remember your parents?,부모님이 기억나?,
3805 ,No.,아니,
3808 ,"I mean, I know I must have them.",그치만 나한테도 부모님이 있겠지,
3812 ,"And wherever they are, I'm sure they miss me... but I can't miss them because I don't remember them.",부모님은 날 그리워하겠지만 난 기억이 안나서 그리워하지도 못해,
3818 ,What do you think you're gonna find out there tomorrow?,내일 미로에 들어가면 뭐가 있을 것 같아?,
3827 ,"Uh, I don't know.",글쎄...,
3831 ,"But if there's a way out, Chuck, me and Minho are gonna find it.",하지만 출구가 있다면 민호와 내가 찾아낼 거야,
3841 ,Here.,여기,
3844 ,"Chuck, why would you give this to me?",이걸 왜 나한테 줘?,
3852 ,I can't remember them anyway.,어차피 부모님을 기억 못하는걸,
3857 ,"But maybe if you find a way out, you can give it to them for me.",여기서 나가면 대신 부모님께 전해줘,
3862 ,I'll let you get some sleep.,"난 갈게, 잘 자",
3866 ,"Hey, Chuck.",척,
3877 ,Come here.,이리 와,
3879 ,Put out your hand.,손 내밀어,
3885 ,I want you to give that to them yourself.,네가 직접 부모님께 드려,
3889 ,We're gonna get out of here.,우린 여기서 나갈 거야,
3893 ,All of us.,전부 다...,
3894 ,Okay?,알았지?,
3897 ,I promise.,약속할게,
3899 ,Yeah.,응,
3899 ,All right.,그래,
3906 ,Good night.,잘 자,
3906 ,"Good night, buddy.",굿나잇,
3921 ,"Big day, Greenie. Are you sure you don't wanna sit this one out?","중요한 날인데, 신참 혹시 빠질 생각없어?",
3925 ,"Come on, man. Get me out of here.","됐고, 어서 꺼내줘",
3925 ,All right.,알았어,
3939 ,Let's go!,가자!,
3954 ,This way. Not much further to the inner ring.,이쪽이야 중심부까지 얼마 안돼,
3961 ,Let's go!,가자!,
3963 ,Come on! This way.,"빨리, 이쪽이야",
3987 ,That's strange.,이상해,
3995 ,What?,뭐가?,
3996 ,Seven is not supposed to be open for another week.,7번은 일주일 후에나 열리게 돼있었어,
3999 ,What the hell is this place?,여긴 대체 뭐야?,
4009 ,We call them blades.,'블레이드'란 곳,
4011 ,"It's Ben's, isn't it?",벤의 셔츠지?,
4032 ,Yeah.,응,
4033 ,A Griever must have pulled him down here.,그리버가 여기로 끌고왔었나 봐,
4064 ,I think it's showing us the way.,이게 길을 안내하고 있어,
4069 ,"Wait, wait, wait.","잠깐, 잠깐만",
4069 ,"What, what?",왜?,
4080 ,This way. Come on.,이쪽이야 가자,
4102 ,"Minho, you ever see this place before?","민호, 여기 와본적 있어?",
4109 ,No.,아니,
4133 ,It's just another dead end.,또 막다른 길이네,
4142 ,Are you sure about this?,이 길이 맞을까?,
4164 ,Nope.,나도 몰라,
4169 ,Grievers.,그리버야,
4209 ,What the hell was that?,방금 그게 뭐였어?,
4222 ,We gotta get out of here.,여기서 나가야 돼,
4225 ,"Give me the key, give me the key!","그 키, 나한테 줘",
4233 ,"Move, move!",서둘러,
4239 ,"We gotta go! Run, Thomas!","가야 돼 뛰어, 토마스!",
4243 ,We're gonna get trapped!,잘못하면 갇혀!,
4245 ,Go! Go!,가!,
4248 ,"Go, go, go!","가, 가!",
4252 ,Move!,빨리!,
4263 ,Minho!,민호!,
4264 ,"Come on! Let's go, let's go!",더 빨리! 계속 가!,
4270 ,"Come on, move!",어서 와!,
4271 ,Keep going! Keep going! Let's go!,계속 뛰어!,
4275 ,"Go, go, go!","가, 가!",
4284 ,"Go, go, go!","가, 가!",
4300 ,Come on! Don't look back!,뒤돌아보지 마!,
4303 ,Come on!,빨리!,
4310 ,"Oh, shit!",빌어먹을!,
4313 ,There!,저기!,
4333 ,What the hell's going on out there?,대체 무슨 일이야?,
4338 ,"What the hell you done now, Thomas?","이번엔 무슨 짓을 했냐, 토마스?",
4339 ,"We found something, a new passage. We think it could be a way out.",새로운 길을 찾았는데 출구일지도 몰라,
4342 ,Really?,정말?,
4342 ,It's true.,진짜야,
4344 ,"We opened a door, something I'd never seen before.",문을 열었는데 처음 보는 곳이었어,
4347 ,I think it must be where the Grievers go during the day.,낮에 그리버가 가는 장소일 거야,
4350 ,You're saying you found the Grievers' home?,그리버의 집을 찾았다고?,
4352 ,And you want us to go in?,근데 거길 가자구?,
4354 ,"Their way in could be our way out, Chuck.",거기가 나가는 길일지도 몰라,
4355 ,"Yeah, or there could be a dozen Grievers on the other side.",아님 반대쪽에 그리버들이 우글대든가,
4358 ,"The truth is, Thomas doesn't know what he has done, as usual.",토마스는 자기가 무슨 짓을 했는지 몰라,
4361 ,"Yeah, at least I did something, Gally. I mean, what have you done? Aside from hide behind these walls all the time?","난 그거라도 했지, 갤리 넌 뭘 했어? 벽 뒤에 숨는 것 빼고 뭘 했냐구?",
4367 ,"Let me tell you something, Greenie.","잘 들어, 신참",
4368 ,"You've been here 3 days, all right? I've been here 3 years!",넌 여기 온지 사흘 됐지만 난 3년째야,
4371 ,"Yeah, you've been here 3 years and you're still here, Gally! What does that tell you?","3년이나 있었는데 아직도 여기 있잖아, 갤리. 아직도 몰라?",
4374 ,Maybe you should start doing things a little differently.,방법을 바꿔보라구,
4376 ,"Maybe you should be in charge, what about that?",네가 대장이라도 되냐?,
4378 ,"Hey, it's Alby!",알비한테 가봐,
4380 ,He's awake.,깨어났어,
4383 ,Has he said anything?,알비가 무슨 말이든 했어?,
4385 ,No.,아니,
4387 ,Alby...,알비,
4390 ,"Alby, are you all right?","알비, 괜찮아?",
4395 ,"Hey, Alby.",알비,
4403 ,"Alby, we might have just found a way out of the maze.",미로에서 나가는 길을 찾은 것 같아,
4409 ,Do you hear me? We could be getting out of here.,들었어? 여기서 나갈 수 있어,
4413 ,We can't.,못 나가,
4417 ,We can't leave.,우린 여길 못 나가,
4420 ,They won't let us.,그들이 허락치 않아,
4423 ,What are you talking about?,무슨 소리야?,
4425 ,I remember.,이제 다 기억나,
4427 ,What do you remember?,뭐가 기억나는데?,
4433 ,You.,너...,
4436 ,"You were always their favorite, Thomas.","그들은 널 제일 좋아했어, 토마스",
4443 ,Always.,항상...,
4448 ,Why did you do this?,왜 그랬어?,
4450 ,Why did you come here?,왜 여길 온 거야?,
4458 ,"Winston, what's going on?","원스턴, 뭐야?",
4465 ,It's the doors. They aren't closing.,미로의 문이 안 닫혀,
4505 ,"Chuck, go to the Council Hall, and start barricading the doors.","척, 본부로 가서 물건들로 문을 막아",
4525 ,"Winston, you go with him.","윈스턴, 같이 가",
4526 ,Got it.,알았어,
4527 ,"Get the others. Tell them to go to the forest. Go hide, now!",다른 애들한테 숲에 숨으라고 해 어서!,
4529 ,"Minho, I want you to grab every weapon you can find.","민호, 무기들 챙겨 전부 다!",
4532 ,I'll meet you at Council Hall.,본부에서 만나자,
4532 ,Let's go.,가자,
4534 ,"Teresa, you and I are gonna go get Alby, all right? Come on.","트리사, 우린 알비를 데리러 가자",
4543 ,"All right, everybody hide!",전부 숨어!,
4548 ,Teresa!,트리사,
4549 ,Come on! Run! Run!,"빨리! 뛰어, 뛰어!",
4560 ,Stay down!,엎드려!,
4562 ,Run!,도망쳐!,
4575 ,Zart!,자트!,
4580 ,Help me!,살려줘!,
4584 ,Go! Get to the village!,본부로 가!,
4586 ,"Go, go, go!",가!,
4601 ,"Stay down, stay down!","숙여, 자세 낮춰",
4602 ,"Gally! Let me in, let me in!",갤리! 문 열어줘!,
4605 ,Alby!,알비,
4613 ,Are you okay?,괜찮아?,
4614 ,What's going on?,무슨 일이야?,
4615 ,They're here.,놈들이 밖으로 나왔어,
4616 ,Grievers?,그리버들이?,
4619 ,"Thomas, what do we do?","토마스, 어떡하지?",
4626 ,It's got me!,잡혔어!,
4631 ,"Everybody, run, run, run!",전부 뛰어!,
4634 ,"Jeff, come on, go, go, go!","제프, 가!",
4650 ,"Everyone, go, go, go!","전부 가, 빨리!",
4670 ,"Keep moving! Oh, shit!","계속 가 젠장, 빌어먹을!",
4674 ,Alby!,알비!,
4676 ,Get behind me!,내 뒤로 와,
4677 ,Come on!,덤벼!,
4682 ,"Over here, let's go!","이쪽이야, 어서!",
4686 ,Over here! Let's go! Come on!,"이쪽이야 뛰어, 빨리",
4689 ,"Over here, come on!",이쪽으로 와!,
4693 ,Winston!,윈스턴!,
4694 ,Get Alby inside.,알비 데리고 들어가,
4696 ,"Chuck, get in! Go, go, go!","척, 빨리 들어가",
4698 ,Lock down the doors!,문 잠가,
4709 ,Careful.,조심해,
4721 ,"Stay back, guys.",뒤로 물러서,
4750 ,Is everyone all right?,다 괜찮아?,
4751 ,Help!,도와줘,
4754 ,"Hey, grab him!",잡아,
4759 ,Watch out!,조심해!,
4766 ,Chuck!,척!,
4767 ,"Chuck, no!","척, 안돼!",
4770 ,Grab him!,잡아,
4772 ,Pull him back!,당겨!,
4772 ,Help!,살려줘,
4773 ,"Chuck, don't let go!","척, 절대 놓지 마",
4776 ,No shit!,걱정 마!,
4776 ,Pull!,당겨!,
4778 ,Don't let him go!,놓으면 안돼,
4780 ,"Chuck, are you okay?","척, 괜찮아?",
4801 ,"Yeah, I'm fine.","응, 괜찮아.",
4803 ,"Thanks, Alby.","고마워, 알비",
4806 ,Alby! Watch out!,"알비, 조심해!",
4811 ,Grab him!,잡아!,
4814 ,"Thomas, get them out.","토마스, 꼭 탈출해",
4818 ,Alby!,알비!,
4822 ,No!,안돼!,
4822 ,Thomas...,토마스,
4824 ,Don't go out there!,나가면 안돼!,
4826 ,"No, Thomas, wait!","안돼, 토마스!",
4827 ,"Thomas, wait!","토마스, 기다려!",
4834 ,Where is everybody?,전부 어딨어?,
4839 ,Who's that over there?,저건 누구야?,
4841 ,Gally...,갤리,
4850 ,"This is all you, Thomas! Look around!",다 네 탓이야 토마스! 주위를 봐!,
4853 ,"Back off, Gally! It's not Thomas' fault!","그만둬, 갤리 토마스 잘못이 아냐",
4855 ,You heard what Alby said!,알비 말 들었잖아,
4855 ,He's one of them!,놈들과 한패야,
4856 ,One of who?,누구?,
4857 ,"He's one of them, and they sent him here to destroy everything, and now he has!",여길 파괴하라고 놈들이 보냈고 그렇게 됐다구,
4867 ,What are you talking about? Calm down.,무슨 소릴 하는 거야? 정신차려,
4878 ,Maybe he's right.,갤리 말이 맞을지도 몰라,
4880 ,Thomas...,토마스,
4882 ,"I need to remember, Teresa.","난 기억을 되찾아야 돼, 트리사",
4887 ,Thomas...,토마스,
4887 ,Thomas!,토마스!,
4887 ,"No, don't!",안돼!,
4889 ,Thomas!,토마스!,
4892 ,"Chuck, get the other syringe!","척, 다른 주사기 가져와",
4894 ,It's okay.,괜찮아,
4896 ,"Thomas, I'm here.","토마스, 나 여기있어",
4898 ,Who put us here?,누가 우릴 여기로 보낸 거지?,
4910 ,That we don't know.,우리도 몰라,
4913 ,Teresa... why are we doing this?,트리사... 왜 이래야 하지?,
4922 ,"Excellent, Thomas. Come with me.","잘했어, 토마스. 날 따라와",
4928 ,Wicked isn't good.,위키드는 나쁜 일을 하는거야,
4928 ,Thomas... Wicked is good.,토마스... 위키드는 좋은 일을 하는거야,
4933 ,How could this be my fault?,이게 어떻게 내 잘못이야?,
4933 ,You did this!,네가 이랬어!,
4937 ,I saw you!,널 봤어!,
4939 ,I can't keep watching them die.,그들이 죽어가는 걸 더는 못 보겠어,
4950 ,Are you okay?,괜찮아?,
4953 ,What the hell were you thinking?,무슨 생각으로 그런 거야?,
4957 ,What happened?,어떻게 된 거야?,
4964 ,Gally has taken control.,이제 갤리가 대장이야,
4966 ,He said we had a choice. Either join him... or get banished at sundown with you.,"우리더러 선택하래 자길 따르든지, 아님 너랑 미로에서 죽든지...",
4973 ,And the others agreed to that?,다른 애들도 그렇게 생각해?,
4977 ,Gally has everyone convinced that you're the reason all this has happened.,너 때문에 우리가 이렇게 됐다는 갤리 말에 설득 당했어,
4982 ,"Well, he's been right so far.",그건 맞는 말이야,
4987 ,What are you talking about?,무슨 소리야?,
4990 ,This place... it's not what we thought it was.,이곳은... 우리가 생각한 것과 달라,
4996 ,"It's not a prison, it's a test.",감옥이 아냐 일종의 시험장이지,
5000 ,It all started when we were kids.,우리가 어렸을 때 시작됐는데,
5003 ,They would give us these challenges.,다 그들이 고안한 테스트야,
5007 ,They were experimenting on us.,우린 그저 실험 대상이지,
5010 ,And then people started disappearing.,근데 사람들이 사라지기 시작했어,
5014 ,"Every month, one after the other, like clockwork.",매달 정확히 한명씩 차례대로,
5017 ,They were sending them up into the maze.,미로로 보낸 거군,
5019 ,"Yeah, but not all of us.",그래 하지만 전부는 아냐,
5022 ,What do you mean?,무슨 뜻이야?,
5024 ,"Guys, I'm one of them.",난 그들 일원이야,
5029 ,"The people who put you here, I worked with them.",너흴 여기 보낸 자들과 함께 일했었어,
5034 ,I watched you guys for years.,난 오랫동안 너희들을 지켜봤어,
5039 ,The entire time you have been here... I was on the other side of it.,너희들이 여기 있는 동안 난 반대쪽에 있었어,
5044 ,So were you.,너도 그렇고,
5049 ,What?,뭐라구?,
5052 ,"Teresa, we did this to them.","트리사, 우리가 같이 이런 거야",
5056 ,No.,아냐,
5059 ,That can't be true.,그럴리 없어,
5061 ,It is. I saw it.,사실이야. 내가 봤어.,
5065 ,Why would they send us up if we were with them?,우리가 그들 일원이라면 왜 여기로 보낸거지?,
5069 ,It doesn't matter.,이젠 상관없어,
5071 ,He's right. It doesn't matter.,토마스 말이 맞아. 이젠 상관없지.,
5074 ,Any of it. Because the people we were before the maze don't even exist anymore. These Creators took care of that.,이 모든 게... 미로에 오기 전의 우리는 이제 존재하지 않아. 예전 기억은 다 지워졌으니까.,
5088 ,"But what does matter is who we are now, and what we do...right now.","지금 우리가 누구이고, 무엇을 하는가가 중요한거야.",
5095 ,You went into the maze and you found a way out.,넌 미로에 들어갔고 나갈 길을 찾아냈어,
5099 ,"Yeah, but if I hadn't, Alby would still be alive.",내가 안 들어갔으면 알비가 안 죽었겠지,
5102 ,Maybe.,어쩌면...,
5107 ,"But I know that if he were here, he would be telling you the exact same thing.",하지만 살아있었다면 나와 똑같은 말을 했겠지,
5115 ,Pick your ass up and finish what you started.,어서 일어나서 네가 시작한 것을 끝내,
5120 ,"Because if we do nothing... then that means Alby died for nothing, and I can't have that.",왜냐면 우리가 가만히 있으면 알비는 헛되이 죽은 거고 난 그럴 수 없어.,
5127 ,Okay.,그래,
